"pulse1","pulse2","ranspot","smokes","active","sex","height","weight"
60,76.0,2,2,3,1,180.0,77.0
78,61.0,2,2,3,1,171.0,79.0
61,100.0,2,1,2,1,180.0,79.0
72,113.0,2,1,3,1,173.0,77.0
50,109.0,2,1,2,1,151.0,81.0
84,141.0,2,2,3,1,178.0,61.0
73,89.0,2,2,2,1,174.0,77.0
88,81.0,2,2,2,1,162.0,71.0
69,64.0,2,2,2,1,187.0,59.0
75,113.0,2,1,2,1,179.0,84.0
70,96.0,2,2,2,2,200.0,63.0
51,99.0,2,2,2,2,170.0,54.0
84,123.0,2,1,2,2,184.0,59.0
77,63.0,2,2,2,2,177.0,62.0
80,108.0,2,1,2,2,183.0,54.0
60,74.0,2,2,2,2,161.0,56.0
79,109.0,1,2,2,2,176.0,52.0
94,94.0,1,2,2,2,176.0,65.0
92,75.0,1,1,2,2,187.0,68.0
72,119.0,2,1,2,2,185.0,50.0
66,84.0,2,2,2,2,178.0,56.0
68,117.0,2,2,1,1,173.0,86.0
56,82.0,2,2,2,1,163.0,70.0
69,88.0,2,1,2,1,184.0,77.0
85,110.0,2,2,2,1,170.0,70.0
80,88.0,1,1,1,1,173.0,72.0
85,74.0,1,2,2,1,173.0,70.0
71,135.0,1,1,3,1,186.0,69.0
66,85.0,1,2,2,1,178.0,65.0
82,55.0,1,2,3,1,168.0,77.0
85,108.0,1,2,3,1,177.0,79.0
68,121.0,1,1,2,1,182.0,79.0
94,91.0,1,1,3,1,191.0,77.0
67,106.0,1,1,2,1,176.0,81.0
61,77.0,1,2,3,1,187.0,61.0
82,103.0,1,2,2,1,187.0,77.0
87,65.0,1,2,2,1,183.0,71.0
76,97.0,1,2,2,1,190.0,59.0
75,93.0,1,1,2,1,176.0,84.0
82,55.0,1,2,2,2,185.0,63.0
63,129.0,1,2,2,2,174.0,54.0
86,81.0,1,1,2,2,170.0,59.0
69,85.0,1,2,2,2,191.0,62.0
64,97.0,1,1,2,2,181.0,54.0
70,64.0,1,2,2,2,165.0,56.0
81,68.0,1,2,2,2,171.0,52.0
61,74.0,1,2,2,2,174.0,65.0
90,87.0,1,1,2,2,180.0,68.0
72,99.0,1,1,2,2,183.0,50.0
64,98.0,1,2,2,2,180.0,56.0
75,110.0,1,2,1,1,173.0,63.0
72,61.0,1,2,1,1,160.0,65.0
74,112.0,1,1,3,1,176.0,72.0
89,84.0,1,1,1,1,176.0,86.0
93,108.0,1,2,1,1,191.0,70.0
103,105.0,1,2,2,2,185.0,63.0
68,75.0,1,2,2,2,177.0,54.0
81,102.0,1,1,2,2,173.0,59.0
89,92.0,1,2,2,2,170.0,62.0
66,51.0,1,1,2,2,159.0,54.0
74,79.0,1,2,2,2,171.0,56.0
92,92.0,1,2,2,2,169.0,52.0
67,81.0,1,2,2,2,187.0,65.0
68,71.0,1,1,2,2,165.0,68.0
76,71.0,2,1,2,2,174.0,50.0
80,113.0,2,2,2,2,173.0,56.0
77,148.0,2,2,1,1,178.0,86.0
74,110.0,2,2,2,1,170.0,70.0
68,123.0,2,1,2,1,169.0,77.0
63,54.0,2,2,2,1,157.0,70.0
63,95.0,2,2,2,1,176.0,97.0
72,97.0,2,1,2,1,168.0,68.0
79,117.0,2,1,2,1,186.0,65.0
76,84.0,2,2,3,1,158.0,70.0
68,74.0,2,2,2,1,169.0,70.0
83,121.0,1,2,2,2,153.0,63.0
85,103.0,1,2,2,2,175.0,54.0
64,86.0,1,1,2,2,177.0,59.0
77,102.0,1,2,2,2,189.0,62.0
76,74.0,1,1,2,2,169.0,54.0
81,65.0,1,2,2,2,181.0,56.0
80,95.0,1,2,2,2,173.0,52.0
83,94.0,1,2,2,2,175.0,65.0
70,103.0,1,1,2,2,190.0,68.0
103,84.0,2,1,2,2,175.0,50.0
73,86.0,2,2,2,2,177.0,56.0
51,107.0,2,2,1,1,177.0,86.0
77,72.0,2,2,2,1,187.0,70.0
72,79.0,2,1,2,1,186.0,77.0
71,84.0,2,2,2,1,188.0,70.0
68,84.0,2,2,2,1,171.0,97.0
47,125.0,2,1,2,1,161.0,68.0
78,108.0,2,1,2,1,164.0,65.0
75,95.0,2,2,3,1,183.0,70.0
85,116.0,2,2,2,1,191.0,70.0
85,122.0,2,2,3,1,152.0,68.0
74,124.0,2,1,3,1,174.0,70.0
90,101.0,2,1,1,2,176.0,50.0
91,105.0,2,1,1,2,171.0,65.0
77,82.0,2,1,1,2,181.0,70.0
